image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
121.webp,2022-01-30,Ernesto Laclau,On Populist Reason,,,,,edition-needs-cover-check,18124981354256448.webp
122.webp,2022-01-28,Roger Williams,The Metamorphosis of Prime Intellect,,,,,edition-needs-cover-check,17920255619074356.webp
123.webp,2022-01-22,Palmiro Togliatti,Lectures on Fascism,,,,,edition-needs-cover-check,17952383470620673.webp
124.webp,2022-01-19,Jason Stanley,How Fascism Works: The Politics of Us and Them,Random House Trade Paperbacks,2020,9780525511854,0525511857,verified-paperback,17934932161816321.webp
125.webp,2022-01-15,Georgi Dimitrov,Against Fascism and War,,,,,edition-needs-cover-check,17921101877152716.webp
126.webp,2022-01-12,Stephen Marche,The Next Civil War: Dispatches from the American Future,Avid Reader Press / Simon & Schuster,2022,9781982123215,1982123214,verified-hardcover,17961177298559375.webp
127.webp,2022-01-10,Elliot Ackerman and Admiral James Stavridis,2034: A Novel of the Next World War,Penguin Press,2021,9781984881250,1984881256,verified-hardcover,17909835473204542.webp
128.jpg,2022-01-09,Eugene Dennis,Indicts the Wall Street Conspirators,,,,,pre-isbn,17928575158973375.jpg
129.jpg,2022-01-07,Eugene Dennis,The Fascist Danger and How to Combat It,,,,,pre-isbn,17914101938121434.jpg
130.jpg,2022-01-05,William Z. Foster,A Manual of Industrial Unionism: Organizational Structure and Policies,,,,,pre-isbn,17916660278189253.jpg
131.jpg,2022-01-04,Joseph Stalin,Stalin's Speeches on the American Communist Party,,,,,pre-isbn,17936949904842904.jpg
132.jpg,2021-12-31,Lin Piao,Long Live the Victory of People's War!,Foreign Languages Press,,,,pre-isbn,17907017087492216.jpg
133.jpg,2021-12-24,Terry Eagleton,Criticism and Ideology: A Study in Marxist Literary Theory,Verso,2006,9781844670802,1844670805,verified-paperback,17914210838196004.jpg
134.jpg,2021-12-17,Carl Marzani,We Can Be Friends: Origins of the Cold War,,,,,edition-needs-cover-check,17843439467705667.jpg
135.jpg,2021-12-08,Gus Hall,Working Class USA: The Power and the Movement,,,,,edition-needs-cover-check,17893736207397266.jpg
136.jpg,2021-12-07,Octavia E. Butler,Bloodchild and Other Stories,Seven Stories Press,2005,9781583226988,1583226982,verified-paperback,17912789945189354.jpg
137.jpg,2021-11-28,Peter Linebaugh and Marcus Rediker,"The Many-Headed Hydra: Sailors, Slaves, Commoners, and the Hidden History of the Revolutionary Atlantic",Beacon Press,2013,9780807033173,0807033170,verified-paperback,17907342935157784.jpg
138.jpg,2021-11-26,William Z. Foster,More Pages from a Worker's Life,,,,,pre-isbn,17947370272615089.jpg
139.jpg,2021-11-26,Earl R. Browder,"Class Struggle vs. Class Collaboration: A Study of Labor Banks, the B. & O. Plan, Insurance Schemes, and Workers' Education",,,,,pre-isbn,17910619298230774.jpg
140.jpg,2021-11-12,William Z. Foster,From Bryan to Stalin,International Publishers,,,,pre-isbn,17910514187299472.jpg
141.jpg,2021-11-09,Octavia E. Butler,Parable of the Talents,Grand Central Publishing,2019,9781538732199,153873219X,verified-paperback,18192159589135907.jpg
142.jpg,2021-11-06,Octavia E. Butler,Parable of the Sower,Grand Central Publishing,2019,9781538732182,1538732181,verified-paperback,17892915494510578.jpg
143.jpg,2021-10-27,Michael Hardt and Antonio Negri,Empire,Harvard University Press,2001,9780674006713,0674006712,verified-paperback,17926753705770714.jpg
144.jpg,2021-10-14,Francis Parker Yockey,Imperium,,,,,edition-needs-cover-check,17928394819733709.jpg
145.jpg,2021-10-11,Nelson Peery,The Future Is Up to Us: A Revolutionary Talking Politics with the American People,,,,,pending,17897144111352074.jpg
146.jpg,2021-10-08,V. I. Lenin,The Proletarian Revolution and Kautsky the Renegade,,,,,edition-needs-cover-check,17892027851457474.jpg
147.jpg,2021-09-28,Martin A. Lee,The Beast Reawakens,,,,,edition-needs-cover-check,17983251298406249.jpg
148.jpg,2021-09-23,Anna Louise Strong,The Soviets Expected It,,,,,edition-needs-cover-check,17874528197537468.jpg
149.jpg,2021-09-20,Enver Hoxha,With Stalin: Memoirs,,,,,edition-needs-cover-check,17931420823703754.jpg
150.jpg,2021-09-14,William Z. Foster,Pages from a Worker's Life,International Publishers,,,,pre-isbn,17911497332038678.jpg
151.jpg,2021-09-13,Pete Thompson,'93 Til: A Photographic Journey Through Skateboarding in the 1990s,Goff Books,2020,9781951541187,1951541189,verified-hardcover,17873219909545804.jpg
152.jpg,2021-09-10,William Z. Foster,Socialism or Barbarism,,,,,pre-isbn,17921925835752100.jpg
153.jpg,2021-08-26,William Z. Foster,History of the Three Internationals,,,,,edition-needs-cover-check,17978155759406898.jpg
154.jpg,2021-08-16,Peter Farb,Word Play: What Happens When People Talk,Vintage,1993,9780679734086,0679734082,verified-paperback,17975552179416730.jpg
155.jpg,2021-08-05,R. Palme Dutt,Fascism and Social Revolution,,,,,edition-needs-cover-check,17947457686514975.jpg
156.jpg,2021-07-28,Daniel Lazare,The Frozen Republic: How the Constitution Is Paralyzing Democracy,,,,,edition-needs-cover-check,17906976502933555.jpg
157.jpg,2021-07-19,Guillaume Sibertin-Blanc,State and Politics: Deleuze and Guattari on Marx,Semiotext(e),2016,9781584351764,1584351764,verified-paperback,17941468465548414.jpg
158.jpg,2021-07-15,Karl Marx,The Poverty of Philosophy,,,,,edition-needs-cover-check,17857953692594152.jpg
159.jpg,2021-07-12,John Perkins,Shape Shifting: Techniques for Global and Personal Transformation,,,,,edition-needs-cover-check,18152803936162522.jpg
160.jpg,2021-07-06,William Z. Foster,Toward Soviet America,,,,,edition-needs-cover-check,17963751115431115.jpg
161.jpg,2021-07-03,Caleb Maupin,BreadTube Serves Imperialism: Examining the New Brand of Internet Pseudo-Socialism,,,,,pending,17933688394538720.jpg
162.jpg,2021-06-27,W. E. B. Du Bois,The Souls of Black Folk,Dover Publications,1994,9780486280417,0486280411,verified-paperback,17866510910497551.jpg
163.jpg,2021-06-25,Muammar Gaddafi,The Green Book,,,,,edition-needs-cover-check,18049513663291959.jpg
164.jpg,2021-06-22,Justin Hocking et al.,Life and Limb: Skateboarders Write from the Deep End,Soft Skull,2004,9781932360288,193236028X,verified-paperback,17946422755492173.jpg
165.jpg,2021-06-18,Jeri Studebaker,Still Starving After All These Years: The Hidden Origins of War Oppression and Inequality,Iff Books,2021,9781789044881,178904488X,verified-paperback,18116407393217731.jpg
166.jpg,2021-06-12,John Perkins,The New Confessions of an Economic Hit Man,Berrett-Koehler Publishers,2016,9781626566743,1626566747,verified-paperback,17877677042468708.jpg
167.jpg,2021-06-10,Herbert Aptheker,Laureates of Imperialism: Big Business Re-Writes American History,,,,,pre-isbn,17854547903541296.jpg
168.jpg,2021-06-07,Ignatius Donnelly,Caesar's Column: A Story of the Twentieth Century,,,,,edition-needs-cover-check,17901001870898959.jpg
