image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
217.jpg,2020-09-06,E. V. Ilyenkov,Dialectical Logic: Essays on Its History and Theory,Aakar Books,2008,9788189833398,8189833391,verified-paperback,17881742833750115.jpg
218.jpg,2020-09-02,José Porfirio Miranda,Communism in the Bible,Wipf and Stock,2004,9781592444687,1592444687,verified-paperback,17877603157810588.jpg
219.jpg,2020-08-12,Andre Vltchek,Exposing Lies of the Empire,PT. Badak Merah Semesta,2015,9786027005860,6027005866,verified-paperback,17933234941397166.jpg
220.jpg,2020-07-31,José Porfirio Miranda,Marx and the Bible: A Critique of the Philosophy of Oppression,Wipf and Stock,2004,9781592444854,1592444857,verified-paperback,18118193833139773.jpg
221.jpg,2020-07-20,Gerald Horne,The Counter-Revolution of 1776: Slave Resistance and the Origins of the United States of America,NYU Press,2014,9781479806898,1479806897,verified-paperback,17858302196070408.jpg
222.jpg,2020-07-16,The Invisible Committee,Now,Semiotext(e),2017,9781635900071,1635900077,verified-paperback,17878835722708780.jpg
223.jpg,2020-07-09,François Cusset,How the World Swung to the Right: Fifty Years of Counterrevolutions,Semiotext(e),2018,9781635900163,1635900166,verified-paperback,17941001404365102.jpg
224.jpg,2020-06-25,Niccolò Machiavelli,Discourses on Livy,,,,,,18023357314301256.jpg
225.jpg,2020-06-23,Andre Vltchek,Aurora,,,,,,17932104010386198.jpg
226.jpg,2020-06-21,Hans Jakob Christoffel von Grimmelshausen,The Life of Courage,Dedalus,2001,9781873982569,1873982569,verified-paperback,17899811431488003.jpg
227.jpg,2020-06-10,Hans Jakob Christoffel von Grimmelshausen,The Adventures of Simplicius Simplicissimus,,,,,,17861926252921985.jpg
228.jpg,2020-06-06,Andre Vltchek,Revolutionary Optimism Western Nihilism,,,,,,17947416142353021.jpg
229.jpg,2020-05-17,Bernard Stiegler,The Age of Disruption: Technology and Madness in Computational Capitalism,Polity,2019,9781509529278,1509529276,verified-paperback,17857575214932053.jpg
