image,date_read,author,title,publisher,edition_year,isbn13,isbn10,isbn_status,source_image
073.webp,2023-04-18,Wang Huning,America Against America,,,,,edition-needs-cover-check,18358305664020850.webp
074.webp,2023-04-10,Dmitry Orlov,Shrinking the Technosphere: Getting a Grip on Technologies that Limit Our Autonomy Self-Sufficiency and Freedom,New Society Publishers,2016,9780865718388,0865718385,verified-paperback,17996608435757290.webp
075.webp,2023-04-04,Dmitry Orlov,Everything Is Going According to Plan,,,,,pending,18256499548144122.webp
076.webp,2023-03-26,Nassim Nicholas Taleb,Skin in the Game: Hidden Asymmetries in Daily Life,Random House,2018,9780425284629,042528462X,edition-format-needs-check,17887057004803619.webp
077.webp,2023-02-08,Leo Tolstoy,War and Peace,,,,,edition-needs-cover-check,17859957830892861.webp
078.webp,2023-02-06,Committee for Promotion of Peace,Falsifiers of History: An Historical Document on the Origins of World War II,,,,,pre-isbn,18001239430612210.webp
079.webp,2023-02-02,Joseph Stalin,Marxism and the National Question,,,,,pre-isbn,17886774650785970.webp
080.webp,2023-01-28,Annabelle Bucar,The Truth About American Diplomats,,,,,pre-isbn,17953064555434931.webp
081.webp,2023-01-27,Fernando Pessoa,The Anarchist Banker,Guernica Editions,2018,,,edition-needs-cover-check,18041224504410720.webp
082.webp,2023-01-27,Henri Barbusse,Stalin: A New World Seen Through One Man,,,,,edition-needs-cover-check,17909148524699738.webp
083.webp,2023-01-18,Jack London,Une invasion sans précédent,,,,,edition-needs-cover-check,18085359061316790.webp
084.webp,2023-01-05,Geoffrey Roberts,Stalin's Library: A Dictator and His Books,Yale University Press,2022,9780300179040,0300179049,verified-hardback,18337706335035266.webp
085.webp,2022-12-25,Robert A. Heinlein,Stranger in a Strange Land,,,,,edition-needs-cover-check,17967518951026141.webp
086.jpg,2022-12-12,Dmitry Orlov,Ready Set Bolt! Survivor's Toolkit,,,,,pending,17953793903140886.jpg
087.webp,2022-11-25,Dmitry Orlov,The Five Stages of Collapse: Survivors' Toolkit,New Society Publishers,2013,9780865717367,0865717362,verified-paperback,18015153817465567.webp
088.webp,2022-11-17,Andrei Martyanov,Losing Military Supremacy: The Myopia of American Strategic Planning,Clarity Press,2018,9780998694757,0998694754,verified-paperback,17984489779664728.webp
089.webp,2022-11-11,Andrei Martyanov,Disintegration: Indicators of the Coming American Collapse,Clarity Press,2021,9781949762341,1949762343,verified-paperback,18073178023326137.webp
090.webp,2022-10-23,Nick Land,Fanged Noumena: Collected Writings 1987-2007,Urbanomic / Sequence Press,2011,9780955308789,095530878X,verified-paperback,18320120353034330.webp
091.webp,2022-10-16,Lyndon H. LaRouche Jr.,The Secrets Known Only to the Inner Elites,,,,,pending,18213353218162170.webp
092.webp,2022-10-02,George Seldes,Facts and Fascism,,,,,edition-needs-cover-check,17965811080812558.webp
093.webp,2022-09-26,Carl Schmitt,Theory of the Partisan,,,,,edition-needs-cover-check,17940789125207495.webp
094.webp,2022-09-11,Italo Calvino,The Complete Cosmicomics,,,,,edition-needs-cover-check,17955685661039098.webp
095.webp,2022-09-06,Eric Bennett,"Workshops of Empire: Stegner, Engle, and American Creative Writing during the Cold War",University of Iowa Press,2015,9781609383718,1609383710,verified-paperback,17865635072745009.webp
096.webp,2022-09-02,William James Sidis,The Animate and the Inanimate,,,,,edition-needs-cover-check,17950555697124905.webp
097.webp,2022-08-29,Alexander Dugin,Political Platonism: The Philosophy of Politics,Arktos Media,2019,9781912079902,1912079909,verified-paperback,17937795128343340.webp
098.webp,2022-08-28,Alexander Dugin,The Theory of a Multipolar World,Arktos Media,2021,9781914208164,1914208161,verified-paperback,18031444825383128.webp
099.webp,2022-08-15,Cixin Liu,The Wandering Earth,,,,,edition-needs-cover-check,17855150507778464.webp
100.webp,2022-08-15,Cixin Liu,Death's End,,,,,edition-needs-cover-check,17956438537951014.webp
101.webp,2022-08-15,Cixin Liu,The Dark Forest,,,,,edition-needs-cover-check,17944287845278686.webp
102.webp,2022-08-07,Cixin Liu,The Three-Body Problem,,,,,edition-needs-cover-check,17979240604606805.webp
103.webp,2022-07-24,Qiao Liang and Wang Xiangsui,Unrestricted Warfare,,,,,edition-needs-cover-check,17922578951359540.webp
104.webp,2022-07-19,Robert H. Latiff,Future War: Preparing for the New Global Battlefield,Vintage,2018,9781101971802,1101971800,verified-paperback,17881113134698040.webp
